SMILES,activity
C#CCOc1c(OC)cc2c3c1-c1cc(NC(C)=O)ccc1CC3N(C)CC2,0
CCc1cc(O)c(OC)c(C(=O)NC[CH]2CCCN2CC)c1Cl,1
Cn1c(=O)cnn(CCCCN2CCN(c3cccc4ccc(O[11CH3])cc34)CC2)c1=O,1
Cc1ccc2c(-c3nnc(SCCCN4C[CH]5C[C]5(c5ccc(C(F)(F)F)cc5)C4)n3C)cccc2n1,0
CCCN(C(C)C)[CH]1CCc2cccc(O)c2[CH]1C,0
C(=C/Cn1c(-c2ccc(OCCCN3CCN(c4ccccc4)CC3)cc2)nc2ccccc21)\Cn1c(-c2ccc(OCCCN3CCN(c4ccccc4)CC3)cc2)nc2ccccc21,0
O=C(NCCC(F)CN1CCN(c2cccc(Cl)c2Cl)CC1)c1ccc2c(c1)Cc1ccccc1-2,0
Oc1ccc(C2(O)CCN(Cc3c[nH]c4ccccc34)CC2)cc1,0
COc1ccccc1N1CCN(CCCCNC(=O)/C=C/c2ccc(Cl)cc2)CC1,1
Cc1cn2c3c(=O)n(C)c(=O)n(C)c3nc2n1CCCCCN1CCN(c2ccccc2O)CC1,0
O[C]1(c2ccc(Cl)cc2)C[CH]2CC[CH](C1)N2Cc1coc2ccc3ccccc3c12,1
COc1cc(N)c(Cl)cc1C(=O)NC[CH]1CCN(Cc2ccccc2)C1,0
Cc1nc(C(=O)NCCCN2CCN(c3cccc(Cl)c3Cl)CC2)c(C)n1-c1ccccc1.Cl.Cl.Cl.Cl,0
Nc1cc(Br)ccc1C(=O)CCCN1CC[CH]2[CH](C1)c1cccc3c1N2CCCS3,1
O=S(=O)(c1cccc2ncccc12)N1CC[CH]1CCN1CCN(c2cccc3sccc23)CC1,1
CCCC(=O)NC1CCc2ccc(CCN3CCN(c4nsc5ccccc45)CC3)cc21,1
O=S(=O)(NCCCCN1CC=C(c2c[nH]c3ccc(Cl)cc23)CC1)c1ccc(F)cc1,1
COc1cc2c(cc1OC)[CH]1Cc3ccc(OC)c(OC)c3CN1CC2,0
O=C(CN1CCN(Cc2ccc(Cl)cc2)CC1)N1CCc2ccccc21,0
COc1cccc2c1CCN2C(=O)CN1CCN(Cc2ccc(Cl)cc2)CC1,0
COc1cc2c(cc1O)[CH]1Cc3sc(CCC(C)C)cc3CN1CC2,1
O=C1c2ccccc2CN1CCCCN1CCN(c2cccc(C(F)(F)F)c2)CC1,0
CCN[CH]1Cc2cc3nc(N)sc3cc2C1,0
Cc1ncoc1-c1nnc(SCCCN2CC3CC3(c3ccc(F)c(C(F)(F)F)c3)C2)n1C,0
O=C(O)C(=O)O.OC1(c2ccc(I)cc2)CCN(Cc2c[nH]c3ccccc23)CC1,1
Cl.O=C1Cc2c(ccc3c2OC[CH](CNCCC2CCc4[nH]c5ccc(F)cc5c4C2)O3)N1,1
COc1ccccc1N1CCN(CCCCNC(=O)/C=C/c2cccc(Oc3ccccc3)c2)CC1.O=C(O)C(=O)O,0
CNCC1Cc2cc3ccn(S(=O)(=O)c4cccc5ccccc45)c3cc21,0
CCOCCOc1ccn2ncc(C(=O)NCCCCN3CCN(c4ccccc4OC)CC3)c2c1,1
c1cc2c(c(N3CCN(CCCc4c[nH]c5ccccc45)CC3)c1)CCCN2,1
CCCN[CH]1CCc2c(F)cccc2C1,0
CCN1CCC[CH]1CNC(=O)c1cc(Br)cc(O)c1OC,1
O=C1NCc2cc(Cl)c(OCCCCN3CCN(c4cccc5ccccc45)CC3)cc21,1
Cc1cccc(NC(=O)CN2CCC(c3ccccn3)CC2)c1,0
COc1ccccc1N1CCN(CCCNC(=O)NN(Cc2ccc(C#N)cc2)c2ccc(Cl)cc2Cl)CC1,0
Nc1ccccc1C(=O)CCCN1CC[CH]2[CH](C1)c1cccc3c1N2CCCS3,1
Fc1ccc(OC[CH]2CC[CH]3CN(c4ncc(F)cn4)CCN3C2)cc1,0
CCCN(CCC)C1CCc2nc(N)sc2C1,0
CCN(CC)[CH]1[CH](CO)[CH]2CN(Cc3ccccc3)[CH](c3ccccn3)[CH]21,0
CCCn1ncc2c1-c1c(C)sc(C)c1CCC2,0
CCOC(=O)[CH]1CCCN(CCCC(C)(C)S(=O)(=O)c2ccccc2)C1,0
CCCCCCN1CCC(c2cccc(O)c2)C1,0
CN1CCN(C2=Nc3cc(Cl)ccc3N(NC(=O)c3ccc4ccccc4n3)c3ccccc32)CC1,0
CCc1cccc(N2CCN(CCCCOc3ccc4c(c3)NC(=O)CC4)CC2)c1Cl,1
COc1ccc(C2=NO[CH](CCCN3CCN(C(c4ccc(F)cc4)c4ccc(F)cc4)CC3)C2)cc1OC,0
O[C]1(c2cccc(Cl)c2Cl)C[CH]2CC[CH](C1)N2Cc1coc2ccccc12,1
Clc1ccc(-c2cc(C3CCN(Cc4cccc(Cl)c4)CC3)[nH]n2)cc1,0
COc1ccc2c(c1)CCN(C)CCc1cc(OC)ccc1C2,1
O=CN[CH]1CC[CH](CCN2CCN(c3nccc4c3CCO4)CC2)CC1,0
Fc1ccc(N2CCN(Cc3cn4ccncc4n3)CC2)cc1,0
O=S(=O)(c1cccc2ncccc12)N1CC[CH]1CCN1CCN(c2nsc3ccccc23)CC1,1
O=C(N[CH]1CC[CH](CCN2CCN(c3cccc4c3OCO4)CC2)CC1)C1CCCO1,0
CCCN(CCC)[CH]1CCc2c(cccc2-c2c(OC)cccc2OC)C1,0
Cc1cccc(N2CCN(CCCCNC(=O)[CH]3CCc4ccccc4N3)CC2)c1,0
Oc1nc2cccc(N3CCN(Cc4cccc(-c5cccc(Cl)c5)c4)CC3)c2o1,1
COc1ccccc1N1CCN(CCCCNC(=O)c2ccc(F)cc2)CC1,0
