SMILES,activity
Cc1ccsc1-c1ccc(-c2nc3ccc(S(C)(=O)=O)cc3[nH]2)cc1,0
CS(=O)(=O)c1ccc2nc(-c3ccc(-c4cccnc4)cc3)[nH]c2c1,0
O=C(NCc1ccccn1)c1ccc(N2CCN(C(=O)c3ccccc3C(F)(F)F)CC2)nn1,0
O=C(O)CCc1nc(-c2cn(Cc3cc(Br)c(Br)c(Br)c3)nn2)no1,0
Cc1nc(-n2ccc(OCc3cccnc3)cc2=O)sc1C(=O)NCc1ccccc1,0
O=C(O)c1cncc(-c2cnc(N3CCC(Oc4cc(F)ccc4Br)CC3)nc2)c1,1
CC(C)(C)c1ccc(CC(=O)N2CCC3(CC2)CCN(CNC(=O)c2cccs2)c2ccccc2O3)cc1,0
FC(F)(F)c1cccc2c1CCC1(CCN(c3ccc(-c4nnc(CCc5cccnc5)o4)nn3)CC1)O2,1
NC(=O)c1nnn(Cc2cc(Cl)c(Cl)c(Cl)c2)c1N,1
COc1ccc(C(=O)Nc2ncc(Cc3cc(C(F)(F)F)cc(C(F)(F)F)c3)s2)cc1OCCO,1
Cc1nc(-n2cnn(Cc3ccc(F)cc3)c2=O)sc1C(N)=O,1
O=C(NCCc1c[nH]cn1)c1ccc(N2CCN(C(=O)c3ccccc3C(F)(F)F)CC2)nn1,0
FC(F)(F)c1cccc2c1CCC1(CCN(c3ccc(-c4nc(Cc5cccnc5)n[nH]4)nn3)CC1)O2,1
NC(=O)c1cc(N2CCC(Oc3ccccc3C(F)(F)F)CC2)no1,1
COc1ccc2c(c1)N(C1CCN(c3ccc(-c4cnn(C)c4)nn3)CC1)CC2,0
COc1ccc(C(=O)Nc2ncc(Cc3ccc(Cl)c(Cl)c3)s2)cc1OCCO,1
O=C(CO)Nc1ccc2c(=O)n(Cc3ccc(Cl)cc3)cnc2c1,0
Cc1cc(CNC(=O)c2sc(-n3cnn(Cc4ccc(F)cc4)c3=O)nc2C)[nH]n1,1
O=C(NC[CH](O)c1cccnc1)c1ccc(N2CCC3(CC2)CCN(CCO)c2ccccc2O3)nn1,0
Cc1nc(N2CCN(Cc3ccccc3)C2=O)sc1C(=O)NCc1cccnc1,1
c1ccc(OC2CCN(c3ccc(-n4ccnc4)nn3)CC2)cc1,0
CCCCCNC(=O)c1ccc(N2CCN(C(=O)c3ccccc3C(F)(F)F)CC2)nn1,1
Cc1nc2ccc(NCc3cccc(C(F)(F)F)c3)cc2n(CCNC(=O)[CH](C)O)c1=O,0
Cc1nc(-c2cnc(N3CCC(Oc4ccccc4C(F)(F)F)CC3)s2)no1,1
CC1(C)Oc2ccc(NCc3ccc(Cl)c(Cl)c3)cc2N(CCNC(=O)CO)C1=O,1
Cc1nc(-n2cnn(Cc3ccc(F)cc3)c2=O)sc1C(=O)NCc1cccnc1,1
COc1ccc(C(N)=O)c(I)c1,1
COc1ccc2nc(NC(=O)c3ccccc3)sc2c1,0
CNC(=O)c1cccc(NC(=O)N2CCC(n3ccc4ccccc43)CC2)c1,0
Cc1ccccc1C(=O)C1CCN(c2ccc(C(=O)NC[CH](O)c3cccnc3)nn2)CC1,1
CCCCCCNC(=O)c1ccc(N2CCN(C(=O)c3ccccc3C(F)(F)F)CC2)nn1,1
Cc1n[nH]c(-c2ccc(N3CCC(Oc4cc(F)ccc4Cl)CC3)nn2)n1,1
Cc1nc(N2CCN(Cc3ccc(F)cc3)C2=O)sc1C(=O)NCc1cccnc1,1
CNC(=O)c1ccc(N2CCC(Oc3ccccc3Br)CC2)nn1,1
Cn1cc(-c2ccc(N3CCC(N4CCc5ccc(C(F)(F)F)cc54)CC3)nn2)cn1,0
Cc1nc(-n2ccc(O)cc2=O)sc1C(=O)NCc1ncco1,0
O=C(Nc1ccc(Oc2cccnc2)c(C(=O)NCc2ccc(Cl)c(Cl)c2)c1)OCc1ccccc1,0
NC(=O)c1cn(Cc2cc(Br)c(Br)c(Br)c2)nn1,1
Cc1cc(CNC(=O)c2ccc(N3CCC(Oc4ccccc4Cl)CC3)nn2)on1,1
CC(C)CCNC(=O)c1ccc(N2CCN(C(=O)c3ccccc3C(F)(F)F)CC2)nn1,1
NC(=O)c1cccc(NC(=O)N2CCC(Oc3ccccc3Cl)CC2)c1,1
O=C(Nc1ccccn1)c1ccc(N2CCN(C(=O)c3ccccc3C(F)(F)F)CC2)nn1,0
