SMILES,activity
O=C(O)c1ccc(N2CCC(Oc3ccccc3C(F)(F)F)CC2)nn1,0
O=C(NCC1CC1)c1ccc(N2CCN(C(=O)c3ccccc3C(F)(F)F)CC2)nn1,0
O=C(O)c1cncc(-c2ccc(N3CCC(Oc4ccccc4C(F)(F)F)CC3)cc2)c1,0
O=C(O)CCCCCc1nc(-c2cn(Cc3cc(Br)c(Br)c(Br)c3)nn2)no1,0
Cc1ccc(C(=O)Nc2ncc(Cc3cccc(C(F)(F)F)c3)s2)cc1C,0
O=C(COc1ccccc1)Nc1ccc2ncn(Cc3ccc(Cl)cc3)c(=O)c2c1,0
O=C(NCc1ccccc1)c1ccc2[nH]c(-c3ccc(Oc4ccccc4)cc3)nc2c1,0
O=C(O)c1cnc(N2CCN(C(=O)c3ccccc3C(F)(F)F)CC2)s1,0
CC(=O)NCC(=O)N1CCC2(CC1)CCN(CCC(C)C)c1ccccc1O2,0
O=C(NCc1nccs1)c1ccc2[nH]c(-c3ccc(Oc4ccccc4)cc3)nc2c1,0
CN(C)C(=O)CCN1CCC2(CCN(C(=O)Cc3ccc(C(C)(C)C)cc3)CC2)Oc2ccccc21,0
O=C(O)CCCCc1nc(-c2cn(Cc3cc(Br)c(Br)c(Br)c3)nn2)no1,0
CCn1c(COCc2ccccc2)nc2cc(C(=O)NCCc3ccc(O)cc3)ccc21,0
O=C(O)c1ccc(N2CCC3(CC2)CCN(Cc2cccc(C(F)(F)F)c2)c2ccccc2O3)nn1,0
O=C(Nc1nccs1)c1ccc2[nH]c(-c3ccc(C(=O)c4ccccc4C(F)(F)F)cc3)nc2c1,0
CS(=O)(=O)c1ccc2nc(-c3ccc(-c4ccccc4Cl)cc3)[nH]c2c1,0
CC(=O)Nc1ccc2ncn(Cc3ccc(Cl)c(Cl)c3)c(=O)c2c1,0
CC(C)CCNC(=O)c1ccc2[nH]c(-c3ccc(C(=O)c4ccccc4C(F)(F)F)cc3)nc2c1,0
Cc1ccccc1-c1ccc(-c2nc3ccc(S(C)(=O)=O)cc3[nH]2)cc1,0
Cc1nc2ccc(NCc3cccc(C(F)(F)F)c3)cc2n(CCNC(=O)[CH](C)O)c1=O,0
O=C(CO)Nc1ccc2ncn(Cc3cccc(-c4ccccc4)c3)c(=O)c2c1,0
O=C(NCc1cccs1)c1ccc2[nH]c(-c3ccc(Oc4ccccc4)cc3)nc2c1,0
O=C(NCc1ccc(Cl)s1)c1ccc2[nH]c(-c3ccc(Oc4ccccc4)cc3)nc2c1,0
Cc1nc(-n2ccc(OCc3cccnc3)cc2=O)sc1C(=O)NCc1ccccc1,0
Cc1nc(N2CCN(Cc3ccc(F)cc3)C2=O)sc1C(=O)NCCc1ccccn1,0
Cc1nc(NC(=O)c2ccccc2)sc1C(=O)Nc1ccccc1,0
O=C(CO)Nc1ccc2ncn(Cc3ccc(C(F)(F)F)cc3)c(=O)c2c1,0
CC(C)(C)c1ccc(CC(=O)N2CCC3(CC2)CCN(CCc2cccnc2)c2ccccc2O3)cc1,0
O=C(Cc1cccs1)Nc1ccc2[nH]c(N3CCN(C(=O)c4ccccc4C(F)(F)F)CC3)nc2c1,0
O=C(Nc1ccc(Oc2cccnc2)c(C(=O)NCc2ccc(Cl)c(Cl)c2)c1)OCc1ccccc1,0
O=C(CO)Nc1ccc2c(=O)n(Cc3ccc(Cl)cc3)cnc2c1,0
O=C(NCCC1CC1)c1ccc(N2CCN(C(=O)c3cc(F)ccc3F)CC2)nn1,0
O=C(O)Cn1nnc(-c2cc(N3CCC(Oc4ccccc4C(F)(F)F)CC3)no2)n1,0
O=C(c1ccccc1C(F)(F)F)N1CCN(c2nccs2)CC1,0
COc1ccccc1CN1CCC2(CCN(C(=O)CNC(C)=O)CC2)Oc2ccccc21,0
CC(C)c1nc2ccc(NCc3cccc(C(F)(F)F)c3)cc2n(CCNC(=O)CO)c1=O,0
CC(=O)NCCNC(=O)c1cn(Cc2ccc(F)c(C(F)(F)F)c2)cn1,0
CC(C)CCNC(=O)c1ccc2[nH]c(-c3ccc(Oc4ccccc4Cl)cc3)nc2c1,0
O=C(CO)Nc1ccc2c(=O)n(Cc3cccc(Cl)c3)cnc2c1,0
O=C(NCc1ccncc1)c1cc(-n2cnn(Cc3ccc(F)cc3)c2=O)n[nH]1,0
O=C(O)Cc1ccc(N2CCC(Oc3ccccc3C(F)(F)F)CC2)nn1,0
O=C(CO)Nc1cnc2ncn(Cc3ccc(Cl)cc3)c(=O)c2c1,0
O=C(NCN1CCC2(CCN(C(=O)Cc3cccc(C(F)(F)F)c3)CC2)Oc2ccccc21)c1ccccc1,0
Cn1c(-c2ccc(-c3ccccc3F)nc2)nc2cc(S(C)(=O)=O)ccc21,0
O=C(NC[CH](O)C1CC1)c1ccc(N2CCN(C(=O)c3ccccc3C(F)(F)F)CC2)nn1,0
CS(=O)(=O)c1ccc2nc(-c3ccc(-c4ccncc4)cc3)[nH]c2c1,0
NC(=O)CCN1CCC2(CCN(C(=O)Cc3cccc(C(F)(F)F)c3)CC2)Oc2ccccc21,0
O=C(CCc1ccccc1)Nc1ccc(N2CCN(C(=O)c3ccccc3C(F)(F)F)CC2)nc1,0
COc1ccc(C(=O)Nc2ncc(Cc3cccc(C(F)(F)F)c3)s2)cc1OC[CH](C)O,0
O=C(NCc1ccc(Cl)s1)c1cccc(-c2nc3cc(Oc4ccccc4C(F)(F)F)ccc3[nH]2)c1,0
Cn1ccc(NC(=O)c2ccn(Cc3cccc(C(F)(F)F)c3)n2)n1,0
CNC(=O)c1cnc(N2CCN(C(=O)c3ccccc3C(F)(F)F)CC2)s1,0
NC(=O)c1cnc(N2CCN(C(=O)c3ccccc3)CC2)s1,0
O=C(NC[CH](O)c1ccccc1)c1ccc(N2CCC3(CC2)Cc2ccccc2C3=O)nn1,0
O=C(NC[CH]1CCCO1)c1ccc(N2CCC(Oc3ccccc3Cl)CC2)nn1,0
c1ccc(OC2CCN(c3ccc(-n4ccnc4)nn3)CC2)cc1,0
COc1cccc(CN2CCC3(CCN(C(=O)CNC(C)=O)CC3)Oc3ccccc32)c1,0
O=C(NC[CH](O)c1cccnc1)c1ccc(N2CCC3(CC2)CCN(CCO)c2ccccc2O3)nn1,0
O=C(O)Cn1nnc(-c2ccc(-c3cn(Cc4cc(Cl)c(Cl)c(Cl)c4)nn3)nn2)n1,0
CS(=O)(=O)c1ccc2nc(-c3ccc(-c4ccccn4)cc3)[nH]c2c1,0
